;customerID;gender;SeniorCitizen;Partner;Dependents;tenure;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges
2983;4674-HGNUA;Male;0;Yes;Yes;71;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);89.9;6457.15
6478;9330-VOFSZ;Female;0;Yes;No;60;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);110.8;6640.7
154;3077-RSNTJ;Female;0;Yes;Yes;6;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.7;113.5
54;4667-QONEA;Female;1;Yes;Yes;60;Yes;No;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Credit card (automatic);74.85;4456.35
2004;8565-CLBZW;Male;0;No;No;24;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Mailed check;89.85;2165.05
2631;6861-XWTWQ;Male;1;Yes;No;7;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;99.25;665.45
2989;3308-MHOOC;Male;0;No;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19.2;19.2
6205;7547-EKNFS;Male;0;Yes;No;42;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);95.25;3959.35
942;7567-ECMCM;Male;0;No;No;24;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Credit card (automatic);79.85;2001
4038;2525-GVKQU;Female;0;No;No;60;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20.6;1093
36;6047-YHPVI;Male;0;No;No;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69.7;316.9
5592;5063-IUOKK;Male;0;No;No;13;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19.75;265.75
1889;8069-YQQAJ;Male;0;No;No;14;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;31.1;419.7
2325;3097-PYWXL;Female;0;Yes;Yes;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;19.95;82.9
5265;4274-DRSQT;Female;0;No;No;66;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;One year;Yes;Bank transfer (automatic);88.9;6000.1
6129;4132-POCZS;Male;0;Yes;No;52;No;No phone service;DSL;Yes;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;39.9;2020.9
574;6030-REHUX;Female;1;Yes;No;28;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;110.85;3204.4
4672;8082-GHXOP;Male;0;No;Yes;13;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;44.0;659.35
4607;2853-CWQFQ;Male;0;No;Yes;1;Yes;No;DSL;No;No;No;Yes;No;Yes;Month-to-month;Yes;Mailed check;59.55;59.55
989;3280-NMUVX;Male;0;Yes;Yes;34;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);19.6;678.8
4501;5006-MXVRN;Female;0;No;No;39;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20.7;762.45
5942;7240-ETPTR;Female;0;Yes;No;9;No;No phone service;DSL;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;48.75;442.2
4504;8327-WKMIE;Male;0;No;No;37;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);20.15;785.75
5022;2599-CIPQE;Male;0;Yes;Yes;71;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);109.3;7782.85
6055;6599-SFQVE;Female;0;No;No;6;Yes;No;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;55.0;340.4
3774;1309-XGFSN;Male;1;Yes;Yes;52;Yes;Yes;DSL;No;Yes;Yes;No;Yes;Yes;One year;Yes;Electronic check;80.85;4079.55
1454;8681-ICONS;Male;0;Yes;Yes;29;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20.65;654.85
3536;2254-DLXRI;Female;0;No;No;1;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;79.15;79.15
421;5605-IYGFG;Female;0;No;No;7;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);69.85;515.45
2373;5498-IBWPI;Female;0;Yes;Yes;66;Yes;No;DSL;No;No;No;Yes;No;No;One year;Yes;Credit card (automatic);49.4;3251.85
102;7123-WQUHX;Male;0;No;No;38;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;No;One year;No;Bank transfer (automatic);95.0;3605.6
2825;7610-TVOPG;Male;0;No;No;15;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;26.35;378.6
5848;9958-MEKUC;Male;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;No;Yes;Two year;No;Credit card (automatic);103.95;7517.7
2193;6922-NCEDI;Male;0;No;Yes;56;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;21.2;1238.65
5453;4012-YCFAI;Male;0;Yes;No;60;Yes;No;DSL;Yes;Yes;No;Yes;No;No;Two year;Yes;Mailed check;61.35;3766.2
5540;3803-KMQFW;Female;0;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.55;20.55
6718;8676-TRMJS;Male;0;No;No;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Mailed check;75.0;209.1
3880;9470-RTWDV;Male;0;Yes;Yes;26;Yes;Yes;DSL;No;No;Yes;Yes;Yes;Yes;One year;Yes;Credit card (automatic);82.0;2083.1
5136;3295-YVUSR;Male;1;No;No;2;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;72.6;154.3
2514;8922-LIEGH;Female;1;No;No;25;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;Yes;Electronic check;89.7;2187.55
1408;5678-VFNEQ;Female;0;Yes;No;71;Yes;Yes;Fiber optic;Yes;No;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);104.1;7412.25
3572;1730-ZMAME;Female;1;No;No;32;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;79.5;2665
1900;0754-EEBDC;Male;0;Yes;Yes;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19.9;76.65
3655;6878-GGDWG;Female;0;Yes;No;32;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);19.4;641.15
3295;4900-MSOMT;Female;0;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;No;Bank transfer (automatic);80.2;5714.2
2176;2626-VEEWG;Male;0;Yes;Yes;67;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Credit card (automatic);19.4;1284.2
4257;9732-EQMWY;Female;0;Yes;No;49;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;99.4;5025
6056;8331-ZXFOE;Female;0;No;No;58;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;No;One year;Yes;Credit card (automatic);71.1;4299.2
5727;8707-HOEDG;Female;0;Yes;Yes;70;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;110.2;7689.8
1464;4283-IVYCI;Male;0;No;No;9;Yes;No;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Mailed check;64.95;547.8
6620;6457-USBER;Male;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;80.8;80.8
6054;9445-SZLCH;Female;0;Yes;Yes;36;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);97.35;3457.9
6752;9928-BZVLZ;Female;0;No;No;12;No;No phone service;DSL;Yes;No;Yes;Yes;No;Yes;Two year;No;Mailed check;49.85;552.1
5355;4724-WXVWF;Male;0;No;No;48;Yes;Yes;Fiber optic;Yes;No;No;Yes;No;Yes;Month-to-month;Yes;Electronic check;95.4;4445.3
5110;8541-QVFKM;Female;0;No;No;8;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;73.5;632.2
1203;9087-EYCPR;Female;0;No;No;60;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;25.0;1505.05
4004;5803-NQJZO;Male;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Bank transfer (automatic);67.8;4804.65
3351;1120-BMWUB;Female;0;No;No;16;Yes;No;DSL;No;Yes;No;Yes;No;No;Month-to-month;Yes;Mailed check;53.9;834.15
2083;4897-QSUYC;Female;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20.15;20.15
6767;7672-VFMXZ;Male;0;Yes;No;57;Yes;No;DSL;Yes;No;No;Yes;No;No;Month-to-month;No;Electronic check;55.7;3171.6
4495;4702-IOQDC;Female;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70.1;70.1
3930;8849-PRIQJ;Female;0;Yes;Yes;67;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;One year;Yes;Electronic check;109.4;7281.6
2124;7802-EFKNY;Male;0;Yes;No;5;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;24.95;100.4
1363;3084-DOWLE;Female;0;Yes;No;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);92.0;6474.4
6993;6583-QGCSI;Female;1;Yes;No;50;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;88.05;4367.35
2056;4138-NAXED;Male;0;No;No;51;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;No;Bank transfer (automatic);81.0;4085.75
2261;3126-WQMGH;Female;0;Yes;No;49;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);52.15;2583.75
914;6024-RUGGH;Male;0;Yes;Yes;72;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);25.2;1798.9
3748;6339-RZCBJ;Male;0;No;No;48;Yes;No;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);78.9;3771.5
3408;2108-YKQTY;Female;0;No;No;4;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Credit card (automatic);50.7;151.3
1072;7771-ZONAT;Male;0;No;No;22;No;No phone service;DSL;No;No;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);56.75;1304.85
3758;8885-QSQBX;Female;0;No;No;1;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);49.55;49.55
3147;8903-WMRNW;Female;0;Yes;No;15;Yes;No;Fiber optic;Yes;No;Yes;No;Yes;Yes;Month-to-month;No;Electronic check;101.75;1669.4
1978;0602-DDUML;Female;0;No;No;57;Yes;No;DSL;No;Yes;Yes;Yes;Yes;No;Two year;No;Mailed check;69.75;3894.4
120;1091-SOZGA;Female;0;Yes;Yes;56;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);99.8;5515.45
1783;8380-PEFPE;Male;0;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;71.65;71.65
5075;4879-GZLFH;Female;0;Yes;Yes;42;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;92.15;3875.4
260;7273-TEFQD;Male;1;No;No;3;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;41.15;132.2
6761;2369-FEVNO;Male;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19.9;19.9
6751;1241-FPMOF;Male;0;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19.65;1025.05
543;1342-JPNKI;Male;0;No;No;10;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);86.05;834.1
3064;7855-DIWPO;Female;0;No;No;21;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;68.65;1493.2
5423;5228-EXCET;Male;0;No;No;13;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;80.85;1008.7
5739;4199-QHJNM;Male;1;Yes;No;67;Yes;Yes;Fiber optic;No;Yes;No;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);102.9;6989.7
1186;7670-ZBPOQ;Female;0;Yes;No;58;Yes;Yes;DSL;Yes;No;No;Yes;No;No;One year;Yes;Bank transfer (automatic);61.05;3478.75
3858;0840-DCNZE;Male;0;No;No;47;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);86.95;4138.9
2348;2683-JXWQQ;Male;0;Yes;Yes;61;No;No phone service;DSL;Yes;No;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);33.6;2117.2
195;2604-IJPDU;Female;0;Yes;No;20;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;No;Month-to-month;Yes;Electronic check;96.55;1901.65
6636;3468-DRVQJ;Female;0;Yes;Yes;10;Yes;Yes;DSL;Yes;Yes;No;No;Yes;No;One year;No;Electronic check;70.3;676.15
6658;0818-OCPZO;Male;1;No;No;27;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;81.45;2122.05
6990;0376-OIWME;Male;0;Yes;No;36;Yes;No;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;93.6;3366.05
3033;5795-KTGUD;Female;0;Yes;No;68;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);110.8;7553.6
4074;0946-CLJTI;Male;1;Yes;No;58;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;98.7;5812.6
2503;9067-SQTNS;Male;0;Yes;Yes;44;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);20.6;926
6514;6166-YIPFO;Male;0;Yes;No;72;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;64.7;4746.05
5596;5982-XMDEX;Female;0;No;No;65;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);26.5;1698.55
2667;8454-AATJP;Female;0;No;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);115.05;8405
3305;5144-TVGLP;Male;1;No;No;38;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;94.75;3653
7016;1471-GIQKQ;Female;0;No;No;1;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;49.95;49.95
2884;5248-RPYWW;Female;1;Yes;Yes;72;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);90.15;6716.45
1043;4883-QICIH;Male;0;Yes;Yes;32;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);69.75;2347.9
930;5146-CBVOE;Female;0;No;No;16;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;No;Bank transfer (automatic);75.1;1212.85
6118;9924-JPRMC;Male;0;No;No;72;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;118.2;8547.15
6283;6956-SMUCM;Female;0;No;No;3;Yes;No;Fiber optic;Yes;No;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99.0;287.4
1191;8221-HVAYI;Male;0;Yes;Yes;35;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;No;Two year;Yes;Credit card (automatic);69.15;2490.15
6446;2205-LPVGL;Male;1;Yes;Yes;58;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;No;No;One year;Yes;Bank transfer (automatic);89.85;5125.75
1995;8000-REIQB;Female;1;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;69.95;69.95
1947;5504-WSIUR;Female;0;No;No;70;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;No;No;One year;Yes;Bank transfer (automatic);90.25;6385.95
5170;7721-DVEKZ;Female;0;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.65;19.65
5630;9801-GDWGV;Female;0;No;No;39;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;103.45;3994.45
4616;4338-EYCER;Male;0;Yes;No;21;Yes;No;DSL;No;No;No;No;Yes;No;Month-to-month;No;Bank transfer (automatic);54.6;1125.2
6332;4378-MYPGO;Male;0;Yes;Yes;68;Yes;No;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);105.25;7173.15
5751;0932-YIXYU;Female;0;No;No;47;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20.25;1029.8
2954;7410-YTJIK;Female;0;No;No;7;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Mailed check;75.45;480.75
7021;1699-HPSBG;Male;0;No;No;12;Yes;No;DSL;No;No;No;Yes;Yes;No;One year;Yes;Electronic check;59.8;727.8
4930;8180-AKMJV;Female;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);44.55;44.55
6957;3914-FDRHP;Male;0;No;No;9;Yes;No;Fiber optic;No;No;No;Yes;Yes;No;Month-to-month;No;Electronic check;86.25;770.5
4365;4737-HOBAX;Male;0;Yes;No;63;Yes;Yes;DSL;No;No;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);79.8;5034.05
4099;6624-JDRDS;Female;0;No;No;6;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);29.45;161.45
3359;3623-FQBOX;Male;0;No;No;21;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;19.95;416.4
4763;4001-TSBTV;Female;0;Yes;Yes;58;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;No;Month-to-month;Yes;Electronic check;91.55;5511.65
2549;0188-GWFLE;Male;0;No;No;2;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.05;33.7
4940;3703-KBKZP;Male;1;No;No;16;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);74.45;1261.35
2467;6559-RAKOZ;Male;0;Yes;Yes;49;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;One year;Yes;Electronic check;97.95;4917.9
32;6827-IEAUQ;Female;0;Yes;Yes;27;Yes;No;DSL;Yes;Yes;Yes;Yes;No;No;One year;No;Mailed check;66.15;1874.45
4580;0825-CPPQH;Female;0;Yes;No;71;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19.1;1372.45
1765;0409-WTMPL;Female;0;Yes;No;58;Yes;Yes;Fiber optic;Yes;Yes;Yes;No;Yes;Yes;One year;Yes;Credit card (automatic);110.65;6526.65
180;6317-YPKDH;Female;0;No;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Bank transfer (automatic);29.95;29.95
4371;3372-CDXFJ;Male;0;Yes;Yes;13;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);24.5;343.6
5766;1183-CANVH;Female;0;Yes;No;23;Yes;No;DSL;No;No;No;Yes;Yes;No;One year;No;Bank transfer (automatic);60.0;1347.15
2450;7602-MVRMB;Female;0;Yes;Yes;72;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);110.45;8058.85
1474;9495-SKLKD;Male;0;Yes;Yes;45;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);95.95;4456.65
6869;5906-CVLHP;Female;0;Yes;Yes;45;Yes;No;DSL;No;Yes;No;Yes;No;No;One year;Yes;Credit card (automatic);54.15;2319.8
1055;3486-NPGST;Female;0;No;No;36;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Mailed check;19.55;620.75
5629;5028-HTLJB;Male;1;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.05;20.05
3172;8393-DLHGA;Male;0;No;Yes;25;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95.9;2448.75
5207;9381-NDKME;Female;1;Yes;No;24;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Credit card (automatic);40.65;933.3
6858;2685-SREOM;Female;0;Yes;Yes;25;Yes;Yes;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;89.1;2368.4
1373;4291-HPAXL;Male;0;No;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.85;19.85
999;3234-VKACU;Male;0;No;No;2;Yes;No;DSL;No;No;No;Yes;Yes;Yes;Month-to-month;No;Electronic check;70.3;132.4
3468;0247-SLUJI;Male;0;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.7;19.7
5588;1660-HSOOQ;Male;0;No;No;1;Yes;No;DSL;No;No;Yes;No;No;No;Month-to-month;Yes;Mailed check;49.65;49.65
4283;7044-YAACC;Male;1;Yes;No;4;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70.2;280.35
709;3347-YJZZE;Male;0;Yes;Yes;29;Yes;Yes;DSL;No;Yes;Yes;No;Yes;Yes;Month-to-month;No;Credit card (automatic);80.1;2211.8
4110;5208-FVQKB;Male;0;Yes;No;70;Yes;No;DSL;Yes;Yes;No;Yes;No;Yes;Two year;No;Mailed check;67.95;4664.15
2307;0002-ORFBO;Female;0;Yes;Yes;9;Yes;No;DSL;No;Yes;No;Yes;Yes;No;One year;Yes;Mailed check;65.6;593.3
5522;2619-WFQWU;Female;0;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;70.15;70.15
3509;8710-YGLWG;Male;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;44.9;44.9
5069;1602-IJQQE;Female;0;No;No;4;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;75.35;338.1
3745;2645-QTLMB;Male;0;No;No;7;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;94.25;669
873;5073-WXOYN;Female;0;No;No;60;No;No phone service;DSL;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;50.8;3027.4
1150;8807-ARQET;Female;0;No;No;41;No;No phone service;DSL;No;Yes;No;No;No;Yes;Month-to-month;Yes;Electronic check;40.35;1677.85
1013;4065-JJAVA;Female;0;No;No;1;Yes;No;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;49.5;49.5
278;8645-KWHJO;Male;0;No;No;14;No;No phone service;DSL;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;55.0;771.95
3619;6479-VDGRK;Female;0;Yes;Yes;72;Yes;No;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);85.3;6129.2
4318;4369-NYSCF;Male;0;No;No;56;Yes;No;DSL;No;Yes;No;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);75.75;4284.65
1942;3764-MNMOI;Male;0;No;No;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19.2;908.15
5001;8292-TYSPY;Male;0;No;No;19;Yes;No;DSL;No;No;Yes;Yes;No;No;Month-to-month;Yes;Credit card (automatic);55.0;1046.5
1861;7054-LGEQW;Female;0;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Mailed check;45.95;45.95
688;0946-FKYTX;Male;0;No;No;52;No;No phone service;DSL;No;Yes;No;No;No;No;One year;No;Mailed check;30.1;1623.4
7035;8456-QDAVC;Male;0;No;No;19;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);78.7;1495.1
1245;6507-ZJSUR;Male;1;Yes;No;23;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;90.45;2117.25
6110;5438-QMDDL;Female;0;Yes;No;19;Yes;No;DSL;No;Yes;No;No;No;Yes;Month-to-month;Yes;Mailed check;59.8;1130.85
6005;3915-ODIYG;Male;1;No;No;60;Yes;Yes;DSL;Yes;Yes;No;No;No;Yes;One year;Yes;Electronic check;71.75;4374.55
4520;3506-LCJDC;Male;0;Yes;Yes;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);19.95;19.95
3474;3982-DQLUS;Male;1;Yes;Yes;65;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;85.75;5688.45
3851;0206-OYVOC;Female;0;Yes;Yes;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19.25;864.2
2755;5468-BPMMO;Male;0;Yes;No;46;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;19.6;851.2
4537;1100-DDVRV;Male;0;Yes;No;17;No;No phone service;DSL;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;49.8;836.35
4407;1850-AKQEP;Male;0;No;Yes;8;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.35;178.7
3174;6968-MHOMU;Male;0;Yes;No;58;No;No phone service;DSL;No;No;No;No;Yes;Yes;One year;Yes;Credit card (automatic);45.0;2689.35
